"prnrnmc"	"isnrnmc"	"prnr"	"prname"	"isnr"	"type"	"council"	"proc"	"counvte"	"proccde"	"issues"	"intro"	"finact"	"pcom"	"pep"	"pat"	"pbe"	"pbu"	"pcr"	"pcy"	"pcz"	"pdk"	"pee"	"pfi"	"pfr"	"pde"	"pel"	"phu"	"pie"	"pit"	"plv"	"plt"	"plu"	"pmt"	"pnl"	"ppl"	"ppt"	"pro"	"psi"	"psk"	"pes"	"pse"	"puk"	"scom"	"sep"	"sat"	"sbe"	"sbu"	"scr"	"scy"	"scz"	"sdk"	"see"	"sfi"	"sfr"	"sde"	"sel"	"shu"	"sie"	"sit"	"slv"	"slt"	"slu"	"smt"	"snl"	"spl"	"spt"	"sro"	"ssi"	"ssk"	"ses"	"sse"	"suk"	"rp"	"out"
60	151	"n99192"	"employctte"	"n99192i2"	"Dec"	"Employ"	"CNS"	"QMV(10)"	1	2	"08-09-99"	"24-01-00"	100	78		78					78		67	78	78			67	82			78		78		67				92	70	78	50	70	0	50	0		0	0	30	0	10	50	60	0	0	20	50	0	0	70	0	80	0	30	0	0	0	30	50	40	0	70
61	152	"n99202"	"cotton"	"n99202i1"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"13-12-99"	2022-05-01	80	100	60	60					0		60	80	80	100		80	80			60		0		100				100	0	60	90	90	90	90	0		0	0	90	0	90	90	90	50	0	90	70	0	0	90	0	90	0	70	0	0	0	50	90	90	100	70
61	153	"n99202"	"cotton"	"n99202i2"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"13-12-99"	2022-05-01	0	100	0	0					0		0	0	0	100		0	0			0		0		0				100	0	0	80	50	90	80	0		0	0	80	0	80	80	80	70	0	80	70	0	0	80	0	80	0	70	0	0	0	70	80	80	0	50
62	154	"n99214"	"MEDA"	"n99214i1"	"Reg"	"General"	"CNS"	"Unan"	2	2	"20-10-99"	"27-11-00"	100	38							38		100	38	100	38			38					50		38				38	50	63	90	30	0	0	0		0	0	30	0	30	70	30	70	0	0	70	0	0	0	0	30	0	70	0	0	0	70	30	30	0	88
62	155	"n99214"	"MEDA"	"n99214i2"	"Reg"	"General"	"CNS"	"Unan"	2	2	"20-10-99"	"27-11-00"	100			100					15		15	100	30	100			100			100		0		100				100	15	15	50	0	0	20	0		0	0	30	0	30	70	40	70	0	0	70	0	0	10	0	40	0	70	0	0	0	70	30	40	30	45
63	156	"n99225"	"equal"	"n99225i1"	"Dir"	"Employ"	"CNS"	"Unan"	2	2	"25-11-99"	"27-11-00"	60		60	100					60		60	100	40	60		40	60			60		80		60				60	60	40	50	0	10	50	0		0	0	10	0	10	50	90	10	0	100	20	0	0	10	0	30	0	10	0	0	0	10	10	100	0	40
63	157	"n99225"	"equal"	"n99225i2"	"Dir"	"Employ"	"CNS"	"Unan"	2	2	"25-11-99"	"27-11-00"	55										40	55	40			40						40								100	80	0	0	0	0		0	0	0	0	60	20	60	0	0	50	0	0	0	0	0	60	0	0	0	0	0	0	0	95	0	100
64	158	"n99235"	"bananas"	"n99235i1"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"10-11-99"	2029-01-01	50	100	0	0					0		0	100	0	100		100	100			0		0		100				100	0	100	50	70	50	50	0		0	0	50	0	50	100	50	20	0	70	50	0	0	50	0	50	0	100	0	0	0	100	50	70	100	0
64	159	"n99235"	"bananas"	"n99235i2"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"10-11-99"	2029-01-01	40	75	0	0					0		0	100	0	40		75	40			0		0		100				100	0	75	20	80	50	50	0		0	0	50	0	50	90	50	50	0	70	50	0	0	50	0	50	0	90	0	0	0	90	50	70	100	40
65	160	"n99236"	"flax"	"n99236i1"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"10-11-99"	"27-07-00"	0	70	70	10					70		70	10	70	0		70	0			70		10		70				100	70	70	60	30	30	30	0		0	0	30	0	30	30	40	15	0	10	10	0	0	10	0	30	0	30	0	0	0	50	30	40	100	35
